Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Mn,5.932,5.25,18,,Matt Sullivan,YELLOW 44J,
Mo,2.825,0.7,5,,Matt Sullivan,YELLOW 44J,
Na,5259,2015,10500,,Matt Sullivan,YELLOW 44J,
P,9080,5100,14000,,Matt Sullivan,YELLOW 44J,
Se,0.865,0.7,2.5,,Matt Sullivan,YELLOW 44J,
Zn,127,88,438,,Matt Sullivan,YELLOW 44J,
,,,,,Matt Sullivan,,
Ca,137,80,865,,Matt Sullivan,YELLOW 7797,
Co,0.276,0.1,0.7,,Matt Sullivan,YELLOW 7797,
Cr,0.473,0.14,13.3,,Matt Sullivan,YELLOW 7797,
Cu,373.275,88,525,,Matt Sullivan,YELLOW 7797,
Fe,237,151,1050,,Matt Sullivan,YELLOW 7797,
K,11922,3900,14000,,Matt Sullivan,YELLOW 7797,
Mg,643,250,875,,Matt Sullivan,YELLOW 7797,
Mn,9.291,5.25,18,,Matt Sullivan,YELLOW 7797,
Mo,4.24,0.7,5,,Matt Sullivan,YELLOW 7797,
Na,3052,2015,10500,,Matt Sullivan,YELLOW 7797,
P,12681,5100,14000,,Matt Sullivan,YELLOW 7797,
Se,2.379,0.7,2.5,,Matt Sullivan,YELLOW 7797,
Zn,270,88,438,,Matt Sullivan,YELLOW 7797,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,wickstrum farms,Animal_Id,Specimen_Desc
Ca,74,30,200,,wickstrum farms,STILLBORN,LIVER
Co,0.009,0.01,0.063,L,wickstrum farms,STILLBORN,LIVER
Cu,33,40,170,L,wickstrum farms,STILLBORN,LIVER
Fe,310,40,400,,wickstrum farms,STILLBORN,LIVER
K,1299,1400,4000,L,wickstrum farms,STILLBORN,LIVER
Mg,88,100,250,L,wickstrum farms,STILLBORN,LIVER
Mn,0.74,0.7,3.5,,wickstrum farms,STILLBORN,LIVER
Mo,0.166,0.2,0.6,L,wickstrum farms,STILLBORN,LIVER
Na,1287,900,3000,,wickstrum farms,STILLBORN,LIVER
P,1814,2000,4000,L,wickstrum farms,STILLBORN,LIVER
Se,0.409,0.3,1.5,,wickstrum farms,STILLBORN,LIVER
Zn,61,37,205,,wickstrum farms,STILLBORN,LIVER
